Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","4u7","CP_Elec_4x5.4",132.080000,-85.725000,90.000000,top
"C2","1u/X7R","C_0805_2012Metric",144.465000,-89.855000,270.000000,top
"C3","1u/X7R","C_0805_2012Metric",151.465000,-89.855000,270.000000,top
"C4","100n","C_0805_2012Metric",159.705000,-86.360000,180.000000,top
"D1","NCD0805G1","LED_0805_2012Metric",159.687500,-82.550000,0.000000,top
"Q1","AO3401","SOT-23",140.035000,-89.789000,180.000000,top
"Q2","AO3402","SOT-23",137.287000,-85.090000,0.000000,top
"R1","100k","R_0805_2012Metric",136.525000,-89.765500,90.000000,top
"R2","10k","R_0805_2012Metric",140.843000,-85.066500,270.000000,top
"R3","100k","R_0805_2012Metric",145.899500,-86.360000,180.000000,top
"R4","10k","R_0805_2012Metric",159.742500,-88.900000,0.000000,top
"R5","10k","R_0805_2012Metric",159.742500,-93.980000,0.000000,top
"R6","10k","R_0805_2012Metric",159.742500,-96.520000,180.000000,top
"R7","220","R_0805_2012Metric",155.297500,-82.550000,0.000000,top
"U1","RT9013-33","SOT-23-5",147.965000,-89.855000,180.000000,top
